,index,event_id,date_of_event,household_id,person_id,event_type_id,event_counter,event_score,date_of_previous_event,created_by,timestamp_created,is_void,sync_id
0,0,5e7c534d-4ad5-4e0e-8808-6fd0cdd89c09,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282788, , , , , , , ,af16dc09-99f1-4093-9420-43542b4c1d32
1,1,35da8b43-acf2-4bee-b701-2cda0aae45d4,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282807, , , , , , , ,8050ae95-9c89-4ce4-b8ad-bff62db96a14
2,2,77d625b8-779c-4d18-ae5d-12bb4b26768a,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282821, , , , , , , ,9ddc803c-1392-4250-8111-9cfc1f35169a
3,3,27b1f01a-cecf-434d-9d2e-4ea252529f89,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282788, , , , , , , ,16641b0c-5fcf-45ca-9e65-746c1a7ca740
4,4,2aff8b8e-5be7-4ec4-850d-0ad8416b7a30,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282807, , , , , , , ,c7e309a7-bd1b-4e5b-a460-b98e17cd4a78
5,5,9fe939f3-0f20-49f0-8f04-444706c96a23,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282821, , , , , , , ,f8643e93-d934-4d09-a336-1f86419e15e9
6,6,344eb760-4732-4e4f-b42f-c2d5208207e3,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282788, , , , , , , ,ee8a9be8-88fd-4d1d-8568-3f8b2ea9752c
7,7,62adad45-6e22-4ccf-8702-0d2d89c575aa,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282807, , , , , , , ,abe37067-410d-47cb-9d51-844aee860e40
8,8,7b8681c0-d99a-42b8-8ca1-5c018e2fb469,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282821, , , , , , , ,dc115f05-6bd7-43c6-a64d-175c91214eb9
9,9,edc37c47-267a-44c0-9589-7d8ccc0cb178,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282788, , , , , , , ,b63e6830-1ee6-487c-96e7-7ebab1cff864
10,10,27a2dedf-d474-46af-a229-198de87ecfb1,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282807, , , , , , , ,c5ba8ae3-5740-42aa-ac85-1dcf1525befb
11,11,4a3b4519-ca13-49ee-87a9-54816cf32bcc,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282821, , , , , , , ,cbdecc87-f12b-4677-93e8-e71c70677fd6
12,12,05ff33f1-7f80-4e32-a52c-7d688e79a38a,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282788, , , , , , , ,292ee707-2396-4207-b3de-41c1db59deda
13,13,4f42c8d2-0aef-4a2b-8ced-2a858768e414,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282807, , , , , , , ,378d8ff1-62c9-4790-864c-aba2956a82c3
14,14,23ba5662-2b9d-4cc6-8833-57145dc0d2af,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282821, , , , , , , ,30638919-1c0f-4e39-87fd-b9b140d938d1
15,15,c1efab02-bbe9-48d0-b530-2aa99672ccfc,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282807, , , , , , , ,dbc6f387-12c2-4d08-bac4-fef22fc475ce
16,16,8bb36161-ae86-4164-ac65-f8187a673ba0,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282821, , , , , , , ,cb3542c0-9bec-4f5e-80e6-57d318a86737
17,17,8ef781e2-080c-4e43-a85a-4a89f7c77bf9,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282807, , , , , , , ,1df7404c-0495-4fac-b32f-b582ce657791
18,18,a8968778-c78a-4559-bbdf-6b81d7c0bd97,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282821, , , , , , , ,1cb29c70-4762-4650-8cad-802c98e76be2
19,19,1be2ba63-8434-4e8a-ad7a-02c4a6127844,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282807, , , , , , , ,e21d77c7-7c9d-48e8-a922-5144bee2ec41
20,20,de903539-a493-4e2a-a712-433038ef70d9,2022-09-12,ae1ff881-bf28-471a-9a03-3efceed4d96a,4282821, , , , , , , ,d2c863f3-b926-4f8a-9464-fcbc1bf92ca7
21,21,9802c3c3-4a77-4190-9e1b-cc17b9a7d20f,2022-09-12,29d199db-2f32-4025-bb9b-94357558550b,4282788, , , , , , , ,68fbe590-75dd-4cb1-a473-a10e1b7c4f1b
